Time,SpeedMotor,ErrorValue,SensorAccelerometer
0.008272409439086914,1.01,-4.59,-4.59
0.028750896453857422,1.01,8.55,8.55
0.0458219051361084,1.01,8.54,8.54
0.0638275146484375,1.01,6.51,6.51
0.0788731575012207,1.01,4.95,4.95
0.09675431251525879,1.01,4.94,4.94
0.1206815242767334,1.01,4.94,4.94
0.13869738578796387,1.01,4.94,4.94
0.16187810897827148,1.01,4.94,4.94
0.18628239631652832,1.01,4.94,4.94
0.21789336204528809,1.0989200000000001,4.94,4.94
0.2489924430847168,1.1126,5.7,5.7
0.29794836044311523,1.10108,5.06,5.06
0.35218167304992676,1.09712,4.84,4.84
0.37956690788269043,1.0982,4.9,4.9
0.4096250534057617,1.0989200000000001,4.94,4.94
0.4395740032196045,1.0989200000000001,4.94,4.94
0.4695253372192383,1.0989200000000001,4.94,4.94
0.5030672550201416,1.0989200000000001,4.94,4.94
0.5309135913848877,1.0989200000000001,4.94,4.94
0.5612585544586182,1.0989200000000001,4.94,4.94
0.6104943752288818,1.0989200000000001,4.94,4.94
0.6587607860565186,1.0989200000000001,4.94,4.94
0.6956069469451904,1.0989200000000001,4.94,4.94
0.7247006893157959,1.0989200000000001,4.94,4.94
0.7568604946136475,1.0989200000000001,4.94,4.94
0.781024694442749,1.0989200000000001,4.94,4.94
0.8130142688751221,1.0989200000000001,4.94,4.94
0.842820405960083,1.0989200000000001,4.94,4.94
0.8748247623443604,1.0989200000000001,4.94,4.94
0.9250857830047607,1.0989200000000001,4.94,4.94
0.9688291549682617,1.0989200000000001,4.94,4.94
0.9998388290405273,1.0989200000000001,4.94,4.94
1.031848669052124,1.0989200000000001,4.94,4.94
1.0628383159637451,1.0989200000000001,4.94,4.94
1.0818710327148438,1.0989200000000001,4.94,4.94
1.1108264923095703,1.0989200000000001,4.94,4.94
1.1428122520446777,1.0989200000000001,4.94,4.94
1.1729505062103271,1.0989200000000001,4.94,4.94
1.2028248310089111,1.0989200000000001,4.94,4.94
1.2535343170166016,1.0989200000000001,4.94,4.94
1.3044230937957764,1.09874,4.93,4.93
1.3303189277648926,1.09874,4.93,4.93
1.364971399307251,1.0989200000000001,4.94,4.94
1.3966431617736816,1.0989200000000001,4.94,4.94
1.4146039485931396,1.0989200000000001,4.94,4.94
1.4430670738220215,1.0989200000000001,4.94,4.94
1.472416639328003,1.0989200000000001,4.94,4.94
1.5025014877319336,1.0989200000000001,4.94,4.94
1.5534470081329346,1.0989200000000001,4.94,4.94
1.596329927444458,1.0989200000000001,4.94,4.94
1.627037763595581,1.0989200000000001,4.94,4.94
1.657156229019165,1.0989200000000001,4.94,4.94
1.6878407001495361,1.0989200000000001,4.94,4.94
1.7188012599945068,1.0989200000000001,4.94,4.94
1.7641260623931885,1.0989200000000001,4.94,4.94
1.7964203357696533,1.0989200000000001,4.94,4.94
1.816192388534546,1.0989200000000001,4.94,4.94
1.8647761344909668,1.0989200000000001,4.94,4.94
1.8975749015808105,1.0989200000000001,4.94,4.94
1.917123794555664,1.0989200000000001,4.94,4.94
1.9366981983184814,1.0989200000000001,4.94,4.94
1.9832262992858887,1.0989200000000001,4.94,4.94
2.002542734146118,1.0989200000000001,4.94,4.94
2.045828342437744,1.0989200000000001,4.94,4.94
2.0761754512786865,1.0989200000000001,4.94,4.94
2.1076998710632324,1.0989200000000001,4.94,4.94
2.1367437839508057,1.0989200000000001,4.94,4.94
2.18719220161438,1.0989200000000001,4.94,4.94
2.245706796646118,1.0989200000000001,4.94,4.94
